profile_id,name,sector,skills,interests,current_industry
61,Person 61,Finance & Banking,"Fraud Detection, Auditing, Forecasting, Valuation","Corporate Finance, Venture Capital, Financial Literacy",Private Equity
62,Person 62,Transportation & Logistics,"Import/Export Management, Transportation Planning, Supply Chain Optimization, Demand Planning, Inventory Control","Smart Cities, Supply Chain Management, Transport Policy, Maritime Logistics",Transportation Planning
63,Person 63,Hospitality & Travel,"Destination Management, Tour Operations, Travel Coordination","Luxury Travel, Cultural Tourism, Hotel Management",Event Management
64,Person 64,Education & Training,"Special Education, Language Teaching, Teacher Training, Online Course Development, Tutoring","Student Mentorship, Educational Technology",EdTech
65,Person 65,Consumer Goods & Retail,"Visual Merchandising, Inventory Management, Customer Service, Customer Relationship Management","Luxury Goods, Fashion Trends, Packaging Design",Consumer Electronics
66,Person 66,Consumer Goods & Retail,"Inventory Management, Vendor Management, Category Management, Customer Service","Digital Marketing, Retail Analytics, Packaging Design, Luxury Goods",Supply Chain Management
67,Person 67,Finance & Banking,"Equity Research, Tax Planning, Forecasting","Sustainable Investing, Stock Market, Portfolio Management, Private Equity",Real Estate Investment
68,Person 68,Education & Training,"Tutoring, Online Course Development, Instructional Design","STEM Education, Educational Technology, Student Mentorship, Educational Research",K-12 Education
69,Person 69,Education & Training,"Assessment Design, Classroom Management, Online Course Development, Career Counseling, Curriculum Development","Educational Policy, Student Mentorship, Educational Research",Tutoring Services
70,Person 70,Hospitality & Travel,"Food & Beverage Management, Tour Operations, Catering","Culinary Arts, Hotel Management, Travel Planning, Luxury Travel",Travel Agencies
71,Person 71,Engineering & Manufacturing,"Piping Design, 3D Printing, Automation Engineering","Material Science, Civil Infrastructure, Automotive Design",Chemical Engineering
72,Person 72,Technology & IT,"CSS, Incident Response, Web Development","Augmented Reality, Virtual Reality, Game Development",Telecommunications
73,Person 73,Education & Training,"Learning Management Systems (LMS), Student Advising, Educational Consulting","Student Mentorship, STEM Education, Inclusive Education",K-12 Education
74,Person 74,Real Estate & Construction,"Construction Scheduling, Building Information Modeling (BIM), Building Code Compliance, Real Estate Development, Site Management","Interior Design, Commercial Real Estate, Real Estate Development",Interior Design
75,Person 75,Government & Non-Profit,"Fundraising, Environmental Policy, Public Administration","Disaster Relief, International Relations, Environmental Conservation, Government Affairs",Community Development
76,Person 76,Healthcare & Life Sciences,"Biomedical Engineering, Surgical Assistance, Healthcare Administration, Nursing, Epidemiology","Healthcare Innovation, Medical Devices, Public Health, Genomics",Telemedicine
77,Person 77,Energy & Utilities,"Hydropower, Oil & Gas Exploration, Environmental Engineering, Solar Energy, Mining Engineering","Energy Policy, Sustainable Development",Utilities
78,Person 78,Real Estate & Construction,"Zoning & Land Use, Construction Scheduling, Site Management, Property Management","Urban Development, Green Building, Commercial Real Estate, Residential Real Estate",Urban Planning
79,Person 79,Agriculture & Food Production,"Food Processing, Irrigation Systems","Organic Farming, Agroforestry, Permaculture",Agriculture
80,Person 80,Healthcare & Life Sciences,"Nutritional Counseling, Medical Imaging","Nutrition, Pharmaceuticals",Telemedicine
81,Person 81,Hospitality & Travel,"Tourism Management, Recreation Management, Food & Beverage Management","Luxury Travel, Hotel Management, Travel Writing, Sustainable Tourism",Event Management
82,Person 82,Agriculture & Food Production,"Farm Management, Animal Husbandry, Irrigation Systems, Agribusiness","Permaculture, Agroforestry, Agribusiness",Organic Farming
83,Person 83,Finance & Banking,"Valuation, Auditing, Financial Analysis, Accounting, Compliance","FinTech Innovation, Private Equity, Banking Technology, Portfolio Management",Investment Banking
84,Person 84,Healthcare & Life Sciences,"Biomedical Engineering, EHR Management","Nursing, Medical Research",Pharmaceuticals
85,Person 85,Consumer Goods & Retail,"Demand Planning, Supply Chain Logistics, Supply Chain Optimization, Vendor Management, Digital Marketing","Luxury Goods, E-commerce, Sustainable Consumer Goods, Packaging Design",Retail
86,Person 86,Finance & Banking,"Financial Planning, Quantitative Analysis, Corporate Finance, Fraud Detection","Stock Market, Wealth Management, Financial Planning",Real Estate Investment
87,Person 87,Transportation & Logistics,"Freight Forwarding, Maritime Operations, Import/Export Management","Logistics Optimization, Sustainable Transport, Railway Systems",Supply Chain Management
88,Person 88,Healthcare & Life Sciences,"Telemedicine, Pharmacovigilance, Radiology, Biomedical Engineering","Pharmaceuticals, Telemedicine, Medical Devices",Pharmaceuticals
89,Person 89,Energy & Utilities,"Energy Auditing, Waste Management, Renewable Energy, Geophysics, Environmental Engineering","Smart Grids, Climate Change Mitigation, Nuclear Energy, Energy Auditing",Mining
90,Person 90,Government & Non-Profit,"Social Work, Public Relations, Non-Profit Management","International Relations, Environmental Conservation, Public Policy",Government
91,Person 91,Engineering & Manufacturing,"CAD Design, Product Design, Structural Analysis, Circuit Design, Piping Design","Manufacturing Processes, 3D CAD Modeling",Manufacturing
92,Person 92,Finance & Banking,"Investment Analysis, Credit Analysis","Financial Planning, Economic Trends",FinTech
93,Person 93,Healthcare & Life Sciences,"Radiology, Telemedicine, Pharmaceutical Development","Bioethics, Healthcare Policy, Holistic Health",Pharmaceuticals
94,Person 94,Engineering & Manufacturing,"Electrical Engineering, CAD Design, 3D Printing","Mechanical Design, 3D CAD Modeling, Sustainable Engineering",Manufacturing
95,Person 95,Legal & Compliance,"Environmental Law, Arbitration, Fraud Prevention, Corporate Governance, International Law","Regulatory Compliance, Intellectual Property",Intellectual Property Law
96,Person 96,Hospitality & Travel,"Travel Writing, Travel Planning","Adventure Travel, Luxury Travel, Tourism",Food & Beverage Services
97,Person 97,Agriculture & Food Production,"Rural Development, Livestock Management, Fisheries Management","Urban Farming, Organic Farming, Sustainable Agriculture",Dairy Farming
98,Person 98,Real Estate & Construction,"Structural Engineering, Building Information Modeling (BIM), Project Planning, Landscaping, Green Building","Real Estate Law, Real Estate Development",Commercial Real Estate
99,Person 99,Healthcare & Life Sciences,"Nutritional Counseling, Public Health, Medical Imaging, Medical Device Design","Healthcare Innovation, Environmental Health, Patient Advocacy, Health Informatics",Public Health
100,Person 100,Media & Entertainment,"Campaign Management, Brand Storytelling, Broadcasting","Music Production, Social Media Content, Cultural Events",Broadcasting
